                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.65367,                  0.854,                0.84444,                0.62842,                      1,                  0.995,                0.68593,                 1.3919,                  1.145,                  1.158,             0.00018575,             0.00018575,             0.00018575
                     88,                  0.618,                0.70042,                0.84098,                0.63041,                      1,                  0.995,                0.68789,                  1.384,                 1.1722,                 1.1505,             0.00017338,             0.00017338,             0.00017338
                     89,                0.65914,                 0.7576,                0.85441,                0.61639,                      1,                  0.995,                0.72106,                 1.3656,                 1.1738,                 1.1409,               0.000161,               0.000161,               0.000161
                     90,                0.71418,                 0.8678,                0.85399,                0.60524,                      1,                  0.995,                0.71214,                 1.3411,                 1.1534,                 1.1307,             0.00014862,             0.00014862,             0.00014862
                     91,                0.63485,                0.96061,                0.79099,                0.90356,                 0.7384,                  0.995,                0.71563,                 1.2967,                 1.1142,                 1.1072,             0.00013625,             0.00013625,             0.00013625
                     92,                0.58571,                 1.0215,                 0.8193,                0.89541,                0.73777,                0.87062,                0.62857,                 1.2637,                 1.0756,                  1.085,             0.00012387,             0.00012387,             0.00012387
                     93,                0.74693,                 1.0352,                0.87884,                0.88717,                0.73706,                0.87062,                0.62858,                 1.2546,                 1.0626,                 1.0734,              0.0001115,              0.0001115,              0.0001115
                     94,                0.58579,                0.96405,                0.84927,                 0.8798,                0.73669,                0.87062,                0.63989,                 1.2486,                 1.0708,                 1.0668,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.72516,                 1.0482,                0.83764,                0.61608,                 0.9461,                0.87062,                0.62748,                 1.2491,                 1.0813,                 1.0623,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 0.5756,                0.96756,                 0.7934,                0.62678,                0.96125,                0.87062,                0.60262,                 1.2547,                 1.0914,                 1.0622,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.53951,                0.91727,                0.80359,                0.63735,                0.98551,                0.87062,                0.59018,                 1.2557,                 1.1019,                 1.0568,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.55721,                0.92288,                0.79369,                0.59277,                 0.9858,                0.87062,                0.59017,                 1.2539,                 1.1033,                   1.06,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.5083,                0.95839,                0.77214,                0.58457,                0.97351,                0.87062,                0.59294,                 1.2532,                 1.1031,                 1.0558,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.60235,                0.96592,                0.83294,                0.59121,                0.98758,                0.87062,                0.58395,                 1.2523,                    1.1,                 1.0559,             2.4875e-05,             2.4875e-05,             2.4875e-05
